"t" "Tt" "Vt" "dt" "Vdt"
2005 2.223 7.2082 1 -0.0011000000000001
2025 9 6.9716 20 -0.01183
2045 9 6.7624 20 -0.01046
2065 9 6.5667 20 -0.00978500000000002
2085 9 6.3806 20 -0.00930499999999999
2105 9 6.1992 20 -0.00907
2125 9 6.0207 20 -0.00892500000000003
2145 9 5.8451 20 -0.00877999999999996
2165 9 5.6721 20 -0.00865
2185 9 5.501 20 -0.008555
2205 9 5.3321 20 -0.00844500000000004
2225 9 5.165 20 -0.00835499999999998
2245 9 5 20 -0.00825
2265 9 4.8352 20 -0.00823999999999998
2285 9 4.6706 20 -0.00823
2305 9 4.5071 20 -0.008175
2325 9 4.3455 20 -0.00808
2345 9 4.1865 20 -0.00795000000000004
2365 9 4.0302 20 -0.00781499999999999
2385 9 3.877 20 -0.00766
2405 9 3.7268 20 -0.00750999999999999
2425 9 3.5803 20 -0.007325
2445 9 3.4392 20 -0.00705499999999999
2465 9 3.3058 20 -0.00667
2485 9 3.1803 20 -0.00627500000000001
2505 9 3.0615 20 -0.00593999999999999
2525 9 2.948 20 -0.00567500000000001
2545 9 2.8388 20 -0.00546
2565 9 2.7339 20 -0.00524499999999999
2585 9 2.6327 20 -0.00506000000000002
2605 9 2.5344 20 -0.00491499999999998
2625 9 2.4393 20 -0.00475500000000002
2645 9 2.3469 20 -0.00461999999999998
2665 9 2.2574 20 -0.00447500000000001
2685 9 2.1699 20 -0.004375
2705 9 2.0838 20 -0.004305
2725 9 1.9987 20 -0.00425500000000001
2745 9 1.9149 20 -0.00418999999999999
2765 9 1.8327 20 -0.00411
2785 9 1.7517 20 -0.00405
2805 9 1.6716 20 -0.004005
2825 9 1.5926 20 -0.00395
2845 9 1.5146 20 -0.0039
2865 9 1.4377 20 -0.003845
2885 9 1.3623 20 -0.00377
2905 9 1.2884 20 -0.003695
2925 9 1.2164 20 -0.0036
2945 9 1.1462 20 -0.00350999999999999
2965 9 1.0777 20 -0.003425
2985 9 1.0105 20 -0.00336000000000001
3005 9 0.9446 20 -0.003295
3025 9 0.88028 20 -0.003216
3045 9 0.81778 20 -0.003125
3065 9 0.75731 20 -0.0030235
3085 9 0.69936 20 -0.0028975
3105 9 0.64425 20 -0.0027555
3125 9 0.59191 20 -0.002617
3145 9 0.54256 20 -0.0024675
3165 9 0.49603 20 -0.0023265
3185 9 0.452 20 -0.0022015
3205 9 0.4107 20 -0.002065
3225 9 0.37234 20 -0.001918
3245 9 0.33711 20 -0.0017615
3265 9 0.30452 20 -0.0016295
3285 9 0.2751 20 -0.001471
3305 9 0.24908 20 -0.001301
3325 9 0.22567 20 -0.0011705
3345 9 0.20448 20 -0.0010595
3365 9 0.18552 20 -0.000948
3385 9 0.16829 20 -0.0008615
3405 9 0.15279 20 -0.000774999999999999
3425 9 0.1386 20 -0.0007095
3445 9 0.12559 20 -0.0006505
3465 9 0.11377 20 -0.000591000000000001
3485 9 0.10336 20 -0.0005205
3505 9 0.094166 20 -0.0004597
3525 9 0.086256 20 -0.0003955
3545 9 0.079917 20 -0.00031695
3565 9 0.074286 20 -0.00028155
3585 9 0.069332 20 -0.0002477
3605 9 0.064977 20 -0.000217750000000001
3625 9 0.061215 20 -0.0001881
3645 9 0.057945 20 -0.0001635
3665 9 0.055367 20 -0.0001289
3685 9 0.053162 20 -0.00011025
3705 9 0.05121 20 -9.76000000000001e-05
3725 9 0.049343 20 -9.335e-05
3745 9 0.047747 20 -7.98e-05
3765 9 0.046459 20 -6.43999999999999e-05
3785 9 0.045266 20 -5.965e-05
3805 9 0.044186 20 -5.39999999999999e-05
3825 9 0.043154 20 -5.16000000000003e-05
3845 9 0.041989 20 -5.825e-05
3865 9 0.040901 20 -5.43999999999999e-05
3885 9 0.040032 20 -4.34500000000001e-05
3905 9 0.039313 20 -3.59499999999999e-05
3925 9 0.038527 20 -3.93000000000001e-05
3945 9 0.037721 20 -4.03000000000001e-05
3965 9 0.037044 20 -3.38499999999999e-05
3985 9 0.036449 20 -2.97499999999999e-05
4005 9 0.035951 20 -2.49000000000003e-05
4025 9 0.035557 20 -1.96999999999999e-05
4045 9 0.035259 20 -1.49e-05
4065 9 0.034933 20 -1.63e-05
4085 9 0.034586 20 -1.735e-05
4105 9 0.03429 20 -1.47999999999999e-05
4125 9 0.034044 20 -1.23000000000002e-05
4145 9 0.033638 20 -2.02999999999998e-05
4165 9 0.033239 20 -1.99500000000002e-05
4185 9 0.032952 20 -1.43499999999998e-05
4205 9 0.032764 20 -9.40000000000003e-06
4225 9 0.032605 20 -7.94999999999997e-06
4245 9 0.03251 20 -4.75000000000024e-06
4265 9 0.032384 20 -6.29999999999971e-06
4285 9 0.032271 20 -5.6500000000001e-06
4305 9 0.032125 20 -7.30000000000001e-06
4325 9 0.032045 20 -4.00000000000018e-06
4345 9 0.03204 20 -2.49999999999903e-07
4365 9 0.031978 20 -3.09999999999998e-06
4385 9 0.031904 20 -3.69999999999988e-06
4405 9 0.031814 20 -4.49999999999999e-06
4425 9 0.031712 20 -5.10000000000024e-06
4445 9 0.03143 20 -1.40999999999999e-05
4465 9 0.031271 20 -7.94999999999997e-06
4485 9 0.031132 20 -6.95000000000001e-06
4505 9 0.031038 20 -4.70000000000002e-06
4525 9 0.03106 20 1.10000000000006e-06
4545 9 0.031117 20 2.8499999999999e-06
4565 9 0.031176 20 2.95e-06
4585 9 0.03124 20 3.20000000000008e-06
4605 9 0.031276 20 1.79999999999989e-06
4625 9 0.031287 20 5.50000000000203e-07
4645 9 0.031304 20 8.49999999999809e-07
4665 9 0.031327 20 1.15000000000011e-06
4685 9 0.031348 20 1.05000000000001e-06
4705 9 0.03129 20 -2.90000000000012e-06
4725 9 0.030977 20 -1.56499999999999e-05
4745 9 0.030803 20 -8.70000000000003e-06
4765 9 0.030665 20 -6.89999999999996e-06
4785 9 0.03057 20 -4.75000000000007e-06
4805 9 0.030611 20 2.04999999999997e-06
4825 9 0.030684 20 3.65000000000001e-06
4845 9 0.030757 20 3.65000000000001e-06
4865 9 0.030839 20 4.09999999999994e-06
4885 9 0.030941 20 5.10000000000007e-06
4905 9 0.031045 20 5.2e-06
4925 9 0.031135 20 4.49999999999999e-06
4945 9 0.03123 20 4.75000000000007e-06
4965 9 0.031108 20 -6.10000000000003e-06
4985 9 0.030888 20 -1.10000000000001e-05
5005 9 0.030829 20 -2.95e-06
5025 9 0.030841 20 6.0000000000008e-07
5045 9 0.030878 20 1.84999999999994e-06
5065 9 0.030904 20 1.30000000000009e-06
5085 9 0.030904 20 0
5105 9 0.030881 20 -1.15000000000011e-06
5125 9 0.030872 20 -4.4999999999993e-07
