"t" "Tt" "Vt" "dt" "Vdt"
2005 2.223 7.2082 1 -0.0011000000000001
2025 12 6.7722 20 -0.0218
2045 12 6.3813 20 -0.019545
2065 12 6.012 20 -0.018465
2085 12 5.6535 20 -0.017925
2105 12 5.3044 20 -0.017455
2125 12 4.9637 20 -0.017035
2145 12 4.6319 20 -0.01659
2165 12 4.3087 20 -0.01616
2185 12 3.9945 20 -0.01571
2205 12 3.6935 20 -0.01505
2225 12 3.4046 20 -0.014445
2245 12 3.1312 20 -0.01367
2265 12 2.8814 20 -0.01249
2285 12 2.6566 20 -0.01124
2305 12 2.4444 20 -0.01061
2325 12 2.2444 20 -0.00999999999999999
2345 12 2.0586 20 -0.00929
2365 12 1.885 20 -0.00868000000000001
2385 12 1.7213 20 -0.008185
2405 12 1.5651 20 -0.00781000000000001
2425 12 1.4152 20 -0.007495
2445 12 1.2716 20 -0.00718
2465 12 1.1349 20 -0.006835
2485 12 1.0058 20 -0.006455
2505 12 0.88258 20 -0.006161
2525 12 0.76503 20 -0.0058775
2545 12 0.65378 20 -0.0055625
2565 12 0.55072 20 -0.005153
2585 12 0.45764 20 -0.004654
2605 12 0.37373 20 -0.0041955
2625 12 0.29917 20 -0.003728
2645 12 0.2345 20 -0.0032335
2665 12 0.1797 20 -0.00274
2685 12 0.1347 20 -0.00225
2705 12 0.099251 20 -0.00177245
2725 12 0.073192 20 -0.00130295
2745 12 0.054944 20 -0.0009124
2765 12 0.042502 20 -0.0006221
2785 12 0.033709 20 -0.00043965
2805 12 0.027865 20 -0.0002922
2825 12 0.023971 20 -0.0001947
2845 12 0.021899 20 -0.0001036
2865 12 0.020424 20 -7.37499999999999e-05
2885 12 0.019239 20 -5.92500000000001e-05
2905 12 0.018298 20 -4.705e-05
2925 12 0.017362 20 -4.68e-05
2945 12 0.016508 20 -4.27e-05
2965 12 0.0157 20 -4.04e-05
2985 12 0.014945 20 -3.77499999999999e-05
3005 12 0.014304 20 -3.205e-05
3025 12 0.013743 20 -2.805e-05
3045 12 0.013217 20 -2.63e-05
3065 12 0.012653 20 -2.82e-05
3085 12 0.012166 20 -2.435e-05
3105 12 0.011842 20 -1.62e-05
3125 12 0.011607 20 -1.175e-05
3145 12 0.011318 20 -1.445e-05
3165 12 0.011001 20 -1.585e-05
3185 12 0.010727 20 -1.37e-05
3205 12 0.010419 20 -1.54e-05
3225 12 0.010137 20 -1.41e-05
3245 12 0.009914 20 -1.115e-05
3265 12 0.0097011 20 -1.06449999999999e-05
3285 12 0.009492 20 -1.0455e-05
3305 12 0.0093467 20 -7.26500000000005e-06
3325 12 0.0092352 20 -5.57499999999994e-06
3345 12 0.0091212 20 -5.70000000000006e-06
3365 12 0.0090188 20 -5.11999999999995e-06
3385 12 0.0089184 20 -5.02000000000002e-06
3405 12 0.0088194 20 -4.95000000000001e-06
3425 12 0.0087157 20 -5.185e-06
3445 12 0.0085498 20 -8.295e-06
3465 12 0.0083512 20 -9.93000000000001e-06
3485 12 0.00824 20 -5.55999999999994e-06
3505 12 0.0081744 20 -3.28000000000004e-06
3525 12 0.0081216 20 -2.64000000000002e-06
3545 12 0.0080956 20 -1.3e-06
3565 12 0.008067 20 -1.43000000000001e-06
3585 12 0.0080355 20 -1.57500000000001e-06
3605 12 0.0079971 20 -1.91999999999996e-06
3625 12 0.0079747 20 -1.12000000000003e-06
3645 12 0.0079711 20 -1.79999999999972e-07
3665 12 0.0079586 20 -6.25000000000018e-07
3685 12 0.0079043 20 -2.71500000000001e-06
3705 12 0.0077921 20 -5.60999999999999e-06
3725 12 0.0075784 20 -1.0685e-05
3745 12 0.007469 20 -5.47e-06
3765 12 0.0073993 20 -3.48499999999999e-06
3785 12 0.0073816 20 -8.84999999999992e-07
3805 12 0.0073391 20 -2.125e-06
3825 12 0.0072571 20 -4.10000000000002e-06
3845 12 0.0072317 20 -1.27e-06
3865 12 0.0072245 20 -3.59999999999987e-07
3885 12 0.0072052 20 -9.64999999999994e-07
3905 12 0.0071838 20 -1.07000000000002e-06
3925 12 0.0071623 20 -1.07499999999999e-06
3945 12 0.0070376 20 -6.23500000000001e-06
3965 12 0.006861 20 -8.82999999999999e-06
3985 12 0.006769 20 -4.6e-06
4005 12 0.0067259 20 -2.155e-06
4025 12 0.0066906 20 -1.76500000000001e-06
4045 12 0.0067011 20 5.25000000000005e-07
4065 12 0.0067462 20 2.25500000000001e-06
4085 12 0.0068014 20 2.76e-06
4105 12 0.0068311 20 1.48499999999998e-06
4125 12 0.0068543 20 1.16000000000001e-06
4145 12 0.0068442 20 -5.04999999999993e-07
4165 12 0.0068051 20 -1.95500000000001e-06
4185 12 0.0067415 20 -3.17999999999998e-06
4205 12 0.0066513 20 -4.51000000000002e-06
4225 12 0.0065275 20 -6.18999999999997e-06
4245 12 0.006508 20 -9.75000000000021e-07
4265 12 0.0064785 20 -1.475e-06
4285 12 0.0064712 20 -3.65000000000001e-07
4305 12 0.0064813 20 5.04999999999993e-07
4325 12 0.0064706 20 -5.34999999999989e-07
4345 12 0.0064772 20 3.29999999999992e-07
4365 12 0.0064992 20 1.10000000000002e-06
4385 12 0.0065472 20 2.40000000000002e-06
4405 12 0.0065609 20 6.84999999999965e-07
4425 12 0.0065659 20 2.50000000000033e-07
