"t" "Tt" "Vt" "dt" "Vdt"
2005 2.223 7.2082 1 -0.0011000000000001
2025 6 7.1063 20 -0.00509499999999998
2045 6 7.0182 20 -0.00440499999999999
2065 6 6.9378 20 -0.00402
2085 6 6.8623 20 -0.00377499999999999
2105 6 6.7897 20 -0.00363000000000002
2125 6 6.7201 20 -0.00347999999999997
2145 6 6.6517 20 -0.00342000000000002
2165 6 6.5841 20 -0.00337999999999998
2185 6 6.5161 20 -0.00340000000000003
2205 6 6.45 20 -0.00330499999999998
2225 6 6.3863 20 -0.00318499999999999
2245 6 6.3237 20 -0.00313000000000003
2265 6 6.2614 20 -0.00311499999999998
2285 6 6.2 20 -0.00307
2305 6 6.1389 20 -0.00305500000000003
2325 6 6.0778 20 -0.00305499999999999
2345 6 6.016 20 -0.00308999999999999
2365 6 5.9548 20 -0.00306000000000002
2385 6 5.8943 20 -0.00302499999999997
2405 6 5.8337 20 -0.00303
2425 6 5.7727 20 -0.00305
2445 6 5.7113 20 -0.00307000000000004
2465 6 5.6498 20 -0.00307499999999998
2485 6 5.5882 20 -0.00308000000000002
2505 6 5.5265 20 -0.00308499999999996
2525 6 5.4648 20 -0.003085
2545 6 5.4031 20 -0.003085
2565 6 5.3411 20 -0.00310000000000001
2585 6 5.2787 20 -0.00312000000000001
2605 6 5.216 20 -0.00313499999999998
2625 6 5.153 20 -0.00315000000000003
2645 6 5.0898 20 -0.00315999999999996
2665 6 5.0268 20 -0.00315000000000003
2685 6 4.9642 20 -0.00312999999999999
2705 6 4.902 20 -0.00310999999999999
2725 6 4.8395 20 -0.003125
2745 6 4.7763 20 -0.00316000000000001
2765 6 4.7125 20 -0.00318999999999998
2785 6 4.6487 20 -0.00319000000000003
2805 6 4.5848 20 -0.00319499999999997
2825 6 4.5208 20 -0.0032
2845 6 4.4567 20 -0.00320500000000004
2865 6 4.3922 20 -0.00322499999999999
2885 6 4.3273 20 -0.00324499999999999
2905 6 4.2628 20 -0.00322499999999999
2925 6 4.1986 20 -0.00321000000000002
2945 6 4.1349 20 -0.00318499999999999
2965 6 4.0718 20 -0.00315500000000002
2985 6 4.0091 20 -0.00313499999999998
3005 6 3.9475 20 -0.00308000000000002
3025 6 3.8869 20 -0.00303
3045 6 3.8278 20 -0.002955
3065 6 3.7701 20 -0.002885
3085 6 3.7136 20 -0.00282499999999999
3105 6 3.6582 20 -0.00277000000000001
3125 6 3.6035 20 -0.002735
3145 6 3.5497 20 -0.00268999999999999
3165 6 3.4966 20 -0.00265500000000001
3185 6 3.4441 20 -0.00262499999999999
3205 6 3.3922 20 -0.00259500000000001
3225 6 3.3409 20 -0.002565
3245 6 3.2905 20 -0.00251999999999999
3265 6 3.2411 20 -0.00247000000000002
3285 6 3.1923 20 -0.00244
3305 6 3.1445 20 -0.00239
3325 6 3.0974 20 -0.002355
3345 6 3.0513 20 -0.002305
3365 6 3.0065 20 -0.00224
3385 6 2.963 20 -0.00217499999999999
3405 6 2.9203 20 -0.002135
3425 6 2.8785 20 -0.00209000000000001
3445 6 2.8371 20 -0.00206999999999999
3465 6 2.7964 20 -0.00203499999999999
3485 6 2.7559 20 -0.00202500000000001
3505 6 2.7152 20 -0.00203500000000001
3525 6 2.6748 20 -0.00202
3545 6 2.6348 20 -0.002
3565 6 2.5952 20 -0.00197999999999998
3585 6 2.5559 20 -0.00196500000000002
3605 6 2.5171 20 -0.00193999999999999
3625 6 2.4784 20 -0.001935
3645 6 2.4402 20 -0.00191000000000001
3665 6 2.4022 20 -0.00189999999999999
3685 6 2.3643 20 -0.001895
3705 6 2.3266 20 -0.001885
3725 6 2.2889 20 -0.001885
3745 6 2.2512 20 -0.001885
3765 6 2.2141 20 -0.00185499999999998
3785 6 2.1771 20 -0.00185000000000002
3805 6 2.1402 20 -0.00184499999999999
3825 6 2.1035 20 -0.00183500000000001
3845 6 2.0669 20 -0.00183
3865 6 2.0304 20 -0.00182499999999999
3885 6 1.9941 20 -0.00181500000000001
3905 6 1.9579 20 -0.00181
3925 6 1.9218 20 -0.001805
3945 6 1.8859 20 -0.001795
3965 6 1.8504 20 -0.00177499999999999
3985 6 1.8152 20 -0.00176000000000001
4005 6 1.7802 20 -0.00175
4025 6 1.7454 20 -0.00174
4045 6 1.7107 20 -0.001735
4065 6 1.6758 20 -0.00174500000000001
4085 6 1.6412 20 -0.00173
4105 6 1.6067 20 -0.001725
4125 6 1.5722 20 -0.001725
4145 6 1.538 20 -0.00171
4165 6 1.504 20 -0.0017
4185 6 1.47 20 -0.0017
4205 6 1.4363 20 -0.001685
4225 6 1.4026 20 -0.00168499999999999
4245 6 1.3694 20 -0.00166000000000001
4265 6 1.3361 20 -0.00166499999999999
4285 6 1.3031 20 -0.00165000000000001
4305 6 1.27 20 -0.001655
4325 6 1.237 20 -0.00165
4345 6 1.2043 20 -0.00163500000000001
4365 6 1.1719 20 -0.00162
4385 6 1.14 20 -0.001595
4405 6 1.1085 20 -0.00157499999999999
4425 6 1.0773 20 -0.00156000000000001
4445 6 1.0464 20 -0.001545
4465 6 1.016 20 -0.00152
4485 6 0.98609 20 -0.0014955
4505 6 0.95654 20 -0.0014775
4525 6 0.92746 20 -0.001454
4545 6 0.89873 20 -0.0014365
4565 6 0.87044 20 -0.0014145
4585 6 0.84262 20 -0.001391
4605 6 0.81506 20 -0.001378
4625 6 0.78788 20 -0.001359
4645 6 0.76132 20 -0.001328
4665 6 0.73563 20 -0.0012845
4685 6 0.71083 20 -0.00124
4705 6 0.68672 20 -0.0012055
4725 6 0.66339 20 -0.0011665
4745 6 0.6409 20 -0.0011245
4765 6 0.61904 20 -0.001093
4785 6 0.5981 20 -0.001047
4805 6 0.5781 20 -0.001
4825 6 0.5589 20 -0.00096
4845 6 0.54042 20 -0.000923999999999997
4865 6 0.52275 20 -0.000883499999999998
4885 6 0.50594 20 -0.000840500000000005
4905 6 0.49003 20 -0.000795499999999996
4925 6 0.47501 20 -0.000751000000000002
4945 6 0.4607 20 -0.000715499999999999
4965 6 0.44696 20 -0.000686999999999999
4985 6 0.43378 20 -0.000659000000000001
5005 6 0.42118 20 -0.00063
5025 6 0.40909 20 -0.000604499999999999
5045 6 0.39782 20 -0.0005635
5065 6 0.38722 20 -0.00053
5085 6 0.3771 20 -0.000506000000000001
5105 6 0.36743 20 -0.000483500000000001
5125 6 0.35846 20 -0.000448499999999999
5145 6 0.34979 20 -0.000433500000000001
5165 6 0.34137 20 -0.000420999999999999
5185 6 0.33319 20 -0.000409000000000001
5205 6 0.32536 20 -0.0003915
5225 6 0.31791 20 -0.000372499999999998
5245 6 0.31085 20 -0.000353000000000001
5265 6 0.30396 20 -0.0003445
5285 6 0.2972 20 -0.000337999999999999
5305 6 0.29073 20 -0.000323500000000002
5325 6 0.28431 20 -0.000320999999999999
5345 6 0.27784 20 -0.000323500000000002
5365 6 0.27154 20 -0.000314999999999999
5385 6 0.26524 20 -0.000315000000000001
5405 6 0.25923 20 -0.000300499999999998
5425 6 0.25345 20 -0.000289
5445 6 0.24779 20 -0.000283
5465 6 0.24246 20 -0.0002665
5485 6 0.23724 20 -0.000261
5505 6 0.23204 20 -0.000260000000000001
5525 6 0.22684 20 -0.000259999999999999
5545 6 0.22169 20 -0.000257500000000001
5565 6 0.21666 20 -0.0002515
5585 6 0.21186 20 -0.00024
5605 6 0.20717 20 -0.0002345
5625 6 0.20264 20 -0.0002265
5645 6 0.1983 20 -0.000216999999999999
5665 6 0.19405 20 -0.0002125
5685 6 0.18977 20 -0.000214
5705 6 0.18561 20 -0.000208
5725 6 0.18154 20 -0.0002035
5745 6 0.17775 20 -0.000189500000000001
5765 6 0.174 20 -0.0001875
5785 6 0.17034 20 -0.000183
5805 6 0.16685 20 -0.0001745
5825 6 0.16332 20 -0.0001765
5845 6 0.15972 20 -0.00018
5865 6 0.15613 20 -0.0001795
5885 6 0.15284 20 -0.000164499999999999
5905 6 0.14984 20 -0.00015
5925 6 0.1471 20 -0.000137
5945 6 0.14458 20 -0.000126000000000001
5965 6 0.14215 20 -0.000121499999999999
5985 6 0.13972 20 -0.000121499999999999
6005 6 0.13743 20 -0.000114500000000001
6025 6 0.13513 20 -0.000115
6045 6 0.13303 20 -0.000105
6065 6 0.13116 20 -9.35000000000005e-05
6085 6 0.12953 20 -8.14999999999996e-05
6105 6 0.12807 20 -7.30000000000008e-05
6125 6 0.12649 20 -7.89999999999999e-05
6145 6 0.12483 20 -8.29999999999997e-05
6165 6 0.12327 20 -7.79999999999996e-05
6185 6 0.12177 20 -7.50000000000001e-05
6205 6 0.12037 20 -6.99999999999999e-05
6225 6 0.11903 20 -6.70000000000004e-05
6245 6 0.11777 20 -6.29999999999999e-05
6265 6 0.11668 20 -5.44999999999997e-05
6285 6 0.11571 20 -4.85000000000006e-05
6305 6 0.11472 20 -4.94999999999995e-05
6325 6 0.11371 20 -5.04999999999999e-05
6345 6 0.11271 20 -5e-05
6365 6 0.11157 20 -5.70000000000001e-05
6385 6 0.11034 20 -6.15000000000004e-05
6405 6 0.10925 20 -5.44999999999997e-05
6425 6 0.10841 20 -4.19999999999997e-05
6445 6 0.1077 20 -3.55000000000001e-05
6465 6 0.10694 20 -3.80000000000005e-05
6485 6 0.10614 20 -3.99999999999998e-05
6505 6 0.10534 20 -3.99999999999998e-05
6525 6 0.10464 20 -3.50000000000003e-05
6545 6 0.10374 20 -4.49999999999999e-05
6565 6 0.10292 20 -4.10000000000001e-05
6585 6 0.10231 20 -3.05e-05
6605 6 0.10182 20 -2.45000000000002e-05
6625 6 0.10134 20 -2.39999999999997e-05
6645 6 0.10074 20 -3.00000000000002e-05
6665 6 0.099941 20 -3.99499999999997e-05
6685 6 0.099024 20 -4.58500000000001e-05
6705 6 0.098176 20 -4.24000000000001e-05
6725 6 0.097286 20 -4.45000000000001e-05
6745 6 0.096684 20 -3.00999999999996e-05
6765 6 0.096272 20 -2.06000000000005e-05
6785 6 0.095796 20 -2.37999999999995e-05
6805 6 0.095228 20 -2.84000000000006e-05
6825 6 0.094614 20 -3.06999999999995e-05
6845 6 0.093919 20 -3.47500000000001e-05
6865 6 0.093215 20 -3.51999999999998e-05
6885 6 0.092526 20 -3.44500000000005e-05
6905 6 0.091985 20 -2.705e-05
6925 6 0.091469 20 -2.58000000000001e-05
6945 6 0.090994 20 -2.37499999999995e-05
6965 6 0.090716 20 -1.39e-05
6985 6 0.090497 20 -1.09500000000005e-05
7005 6 0.090229 20 -1.33999999999995e-05
7025 6 0.089799 20 -2.15e-05
7045 6 0.08926 20 -2.69499999999999e-05
7065 6 0.088772 20 -2.44000000000001e-05
7085 6 0.088409 20 -1.81500000000001e-05
7105 6 0.088251 20 -7.90000000000027e-06
7125 6 0.088133 20 -5.89999999999966e-06
7145 6 0.088023 20 -5.49999999999995e-06
7165 6 0.087868 20 -7.75000000000012e-06
7185 6 0.087665 20 -1.01499999999997e-05
7205 6 0.087651 20 -7.00000000000006e-07
7225 6 0.087555 20 -4.80000000000064e-06
7245 6 0.087306 20 -1.245e-05
7265 6 0.086929 20 -1.88499999999994e-05
7285 6 0.086645 20 -1.42000000000003e-05
7305 6 0.086403 20 -1.21000000000003e-05
7325 6 0.086166 20 -1.18499999999994e-05
7345 6 0.08583 20 -1.68000000000001e-05
7365 6 0.085629 20 -1.00500000000003e-05
7385 6 0.085535 20 -4.69999999999984e-06
7405 6 0.085578 20 2.15000000000007e-06
7425 6 0.085674 20 4.79999999999994e-06
7445 6 0.085823 20 7.44999999999982e-06
7465 6 0.085916 20 4.65000000000049e-06
7485 6 0.085786 20 -6.50000000000026e-06
7505 6 0.08559 20 -9.80000000000009e-06
7525 6 0.085383 20 -1.03499999999999e-05
7545 6 0.085174 20 -1.045e-05
7565 6 0.084963 20 -1.05500000000001e-05
7585 6 0.084879 20 -4.20000000000004e-06
7605 6 0.084864 20 -7.50000000000056e-07
7625 6 0.084809 20 -2.74999999999997e-06
7645 6 0.084914 20 5.25000000000039e-06
7665 6 0.084954 20 1.99999999999992e-06
7685 6 0.08491 20 -2.20000000000012e-06
7705 6 0.084842 20 -3.39999999999993e-06
7725 6 0.084771 20 -3.55000000000008e-06
