"t" "Tt" "Vt" "dt" "Vdt"
2005 2.223 7.2082 1 -0.0011000000000001
2025 3 7.1785 20 -0.001485
2045 3 7.1537 20 -0.00124
2065 3 7.1314 20 -0.00111499999999998
2085 3 7.1102 20 -0.00106000000000002
2105 3 7.0902 20 -0.000999999999999979
2125 3 7.0712 20 -0.000950000000000006
2145 3 7.0527 20 -0.00092500000000002
2165 3 7.0335 20 -0.000959999999999983
2185 3 7.014 20 -0.000974999999999993
2205 3 6.9948 20 -0.000960000000000027
2225 3 6.976 20 -0.000939999999999985
2245 3 6.9585 20 -0.000875000000000004
2265 3 6.9416 20 -0.000844999999999985
2285 3 6.9255 20 -0.000804999999999989
2305 3 6.9097 20 -0.000790000000000024
2325 3 6.8937 20 -0.000800000000000001
2345 3 6.8774 20 -0.00081500000000001
2365 3 6.8605 20 -0.000844999999999985
2385 3 6.8437 20 -0.000839999999999996
2405 3 6.8272 20 -0.000824999999999987
2425 3 6.8109 20 -0.00081500000000001
2445 3 6.7949 20 -0.000800000000000001
2465 3 6.7787 20 -0.000810000000000022
2485 3 6.7629 20 -0.00078999999999998
2505 3 6.7473 20 -0.000780000000000003
2525 3 6.7315 20 -0.000790000000000024
2545 3 6.7154 20 -0.000804999999999989
2565 3 6.6993 20 -0.000804999999999989
2585 3 6.6833 20 -0.000800000000000001
2605 3 6.6676 20 -0.000784999999999991
2625 3 6.6517 20 -0.000795000000000012
2645 3 6.6356 20 -0.000804999999999989
2665 3 6.6198 20 -0.000790000000000024
2685 3 6.6039 20 -0.000794999999999968
2705 3 6.5878 20 -0.000805000000000033
2725 3 6.5716 20 -0.000809999999999977
2745 3 6.5558 20 -0.000790000000000024
2765 3 6.5404 20 -0.000769999999999982
2785 3 6.5249 20 -0.000775000000000015
2805 3 6.5095 20 -0.000769999999999982
2825 3 6.4943 20 -0.000760000000000005
2845 3 6.4785 20 -0.00078999999999998
2865 3 6.4627 20 -0.000790000000000024
2885 3 6.4472 20 -0.000775000000000015
2905 3 6.4314 20 -0.00078999999999998
2925 3 6.4154 20 -0.000800000000000001
2945 3 6.3993 20 -0.000804999999999989
2965 3 6.3834 20 -0.000795000000000012
2985 3 6.3678 20 -0.000780000000000003
3005 3 6.3527 20 -0.000755000000000017
3025 3 6.3381 20 -0.000729999999999986
3045 3 6.3234 20 -0.000734999999999975
3065 3 6.3082 20 -0.000760000000000005
3085 3 6.293 20 -0.000760000000000005
3105 3 6.2778 20 -0.000760000000000005
3125 3 6.2619 20 -0.000795000000000012
3145 3 6.2461 20 -0.00078999999999998
3165 3 6.2306 20 -0.000775000000000015
