"","model","until","RMSE","LOO","L4O","L5O"
"23","SIMPLE",2300,0.0443328838379173,0.0445545235640641,0.0432147885571595,0.0441986758155591
"24","SIMPLE",2400,0.051956103185781,0.0522900807349586,0.0495508024699151,0.0525035600665946
"25","SIMPLE",2500,0.0695775450227703,0.0708127761712935,0.0688034189708162,0.0682780958986986
"26","SIMPLE",2600,0.088457284629961,0.0908136606396123,0.0890180665247359,0.0854422778132542
"27","SIMPLE",2700,0.0998742056031357,0.103625986604188,0.102479482255539,0.101232895575567
"28","SIMPLE",2800,0.10850631282501,0.113978305412881,0.113934245784123,0.120846261929744
"29","SIMPLE",2900,0.117040375628054,0.124554120223729,0.126021811306165,0.144695218734257
"30","SIMPLE",3000,0.126659216646072,0.13622122815595,0.139336721509517,0.157788420117792
"31","SIMPLE_a",2100,0.00588196841431116,0.00589314254877079,0.0059093689932252,0.0058947413592916
"32","SIMPLE_a",2200,0.0217587633391569,0.0218886398997465,0.0219963602412653,0.0216853284135722
"33","SIMPLE_a",2300,0.0753674323590674,0.0754455900839175,0.0763538246135122,0.0758356931829117
"34","SIMPLE_a",2400,0.148797579385077,0.148604522630335,0.150483011602573,0.14437018672995
"35","SIMPLE_a",2500,0.214901778879473,0.214279304854412,0.216633604704646,0.205397701188521
"36","SIMPLE_a",2600,0.239579784488815,0.23857212986803,0.241072774923805,0.23188217717584
"37","SIMPLE_a",2700,0.246897975005764,0.246630386261971,0.248248515487732,0.254604089710867
"38","SIMPLE_a",2800,0.251299944374049,0.253035802136719,0.252635941648902,0.286007321119065
"39","SIMPLE_a",2900,0.263124659598156,0.267462078818171,0.264563082191595,0.31090849027811
"40","SIMPLE_a",3000,0.273965718311497,0.278669244577499,0.275150259203201,0.319447015001721
"41","DICE",2100,0.00639665835048454,0.00584524520205822,0.00613281630387489,0.00915133082169396
"42","DICE",2200,0.0205177248889765,0.0186324725883982,0.0139218307079354,0.0222508457482042
"43","DICE",2300,0.065661568129692,0.0632454010175221,0.0613044050905133,0.0621871623154124
"44","DICE",2400,0.0816289725423332,0.0790507438509557,0.0780416692092673,0.0809750866987563
"45","DICE",2500,0.0873549217321985,0.0865430987751373,0.0840492397756312,0.100324111909603
"46","DICE",2600,0.104220912046762,0.106438886077396,0.104112637834701,0.12946236327985
"47","DICE",2700,0.125001666826854,0.130161130224713,0.128414339013321,0.160276175358939
"48","DICE",2800,0.151670619785789,0.15939906343121,0.15848182419039,0.194693894629989
"49","DICE",2900,0.182485326017877,0.192376975424418,0.192424060324205,0.231066528161975
"50","DICE",3000,0.2110236447648,0.222888206375047,0.223964586760648,0.263882352997529
"51","DICE_a",2100,0.00457733883659411,0.00459343766602496,0.00403990816983828,0.00951754486582247
"52","DICE_a",2200,0.0404444981261515,0.0391387564823591,0.0324667135583224,0.0388149903307725
"53","DICE_a",2300,0.0895924344359738,0.08736217520724,0.0840729890474342,0.0851893440803944
"54","DICE_a",2400,0.100637699680964,0.0976184284304845,0.0936948829980774,0.0991932539840607
"55","DICE_a",2500,0.110963065071429,0.110973869326537,0.10744923681007,0.128586722078977
"56","DICE_a",2600,0.137328338593837,0.141429842204715,0.139232380341209,0.169498243196576
"57","DICE_a",2700,0.163779024097442,0.171553029432545,0.170221660928128,0.207221989263571
"58","DICE_a",2800,0.192986940944645,0.204050397138441,0.203555290732428,0.245356833881959
"59","DICE_a",2900,0.22480087016198,0.238759133579558,0.239172095168204,0.283778136291369
"60","DICE_a",3000,0.254083358517291,0.2707046259927,0.272081199368553,0.318014681322523
"61","DICE_b",2100,0.0043874939427005,0.00441657607046745,0.00442320544425141,0.00448166590425349
"62","DICE_b",2200,0.0493645770312538,0.0501341765167935,0.0524907983957417,0.0512665000100648
"63","DICE_b",2300,0.0959673783514703,0.0969539324301445,0.099691661397037,0.0981579653478682
"64","DICE_b",2400,0.110666027654595,0.112000980676999,0.113693893394785,0.115622404491062
"65","DICE_b",2500,0.127099345988522,0.129764807860726,0.132911092054352,0.142103496477638
"66","DICE_b",2600,0.155673705607741,0.159709762381179,0.164018929297759,0.177905105251999
"67","DICE_b",2700,0.183920578117776,0.188813563931774,0.193330773809604,0.210845069436423
"68","DICE_b",2800,0.214477418485932,0.219858510497939,0.22409721100475,0.244300775070715
"69","DICE_b",2900,0.246544966590941,0.252134865689912,0.255850655674881,0.277704864021341
"70","DICE_b",3000,0.27536977935952,0.281011328023243,0.284147734165743,0.306757682128172
